bgg_id,ano,rank,nome
51,1999,895,Ricochet Robots
15364,2005,896,Vegas Showdown
382843,2023,897,Evacuation
73171,2010,898,Earth Reborn
160495,2014,900,ZhanGuo
300877,2020,902,New York Zoo
214887,2018,903,CO₂: Second Chance
22345,2006,904,Yspahan
169654,2014,907,Deep Sea Adventure
68425,2011,908,Eminent Domain
181687,2015,912,The Pursuit of Happiness
214029,2018,913,SpaceCorp: 2025-2300AD
8125,2003,914,Santiago
204516,2017,915,878 Vikings: Invasions of England
256382,2018,917,Disney Villainous: The Worst Takes it All
220520,2017,918,Caverna: Cave vs Cave
251678,2018,919,Railroad Ink: Blazing Red Edition
116998,2012,921,Thunderstone Advance: Towers of Ruin
47185,2009,922,Warhammer: Invasion
3307,2002,923,Wallenstein
200147,2016,924,Kanagawa
256570,2018,927,Crown of Emara
372559,2022,928,Spots
218121,2018,929,Dice Hospital
201825,2017,930,Ex Libris
156943,2014,931,Saint Petersburg (Second Edition)
239472,2019,932,Abomination: The Heir of Frankenstein
249277,2021,936,Brazil: Imperial
161417,2014,937,Red7
203417,2016,938,Exit: The Game – The Secret Lab
55600,2009,939,Shipyard
171273,2015,940,FUSE
43528,2009,941,World Without End
194879,2016,944,Not Alone
285984,2019,945,Last Bastion
173442,2015,947,Empires: Age of Discovery
394106,2023,948,Everdell Farshore
162286,2015,949,Super Motherload
338760,2021,950,Imperial Steam
217780,2017,956,Gentes
170416,2016,957,Vast: The Crystal Caverns
175117,2015,958,Celestia
234477,2017,959,Battle for Rokugan
387780,2023,960,Rats of Wistar
131287,2014,961,Panamax
30645,2007,962,Tammany Hall
275467,2019,963,Letter Jam
56692,2007,964,Parade
218479,2018,965,Cerebria: The Inside World
192457,2016,967,Cry Havoc
160499,2014,969,King of New York
176165,2015,970,Dale of Merchants
122298,2012,971,Fungi
131260,2012,974,Qwixx
267319,2019,976,Roam
12002,2004,977,Jambo
197443,2017,978,Fugitive
179275,2016,983,One Deck Dungeon
230244,2019,986,Black Angel
36235,2013,988,The Duke
91872,2011,989,Dungeons & Dragons: The Legend of Drizzt Board Game
219215,2017,991,Werewords
191051,2017,994,Outlive
284818,2019,996,Caylus 1303
252153,2019,997,Tang Garden
216459,2017,998,The Lost Expedition
156566,2014,999,Lords of Xidit
110277,2012,1002,Among the Stars
245643,2018,1004,Luxor
528,1999,1005,Zertz
65244,2010,1006,Forbidden Island
163602,2015,1008,XCOM: The Board Game
26997,2012,1010,1989: Dawn of Freedom
12891,2004,1012,Friedrich
91514,2011,1013,Rhino Hero
179803,2017,1015,Arcadia Quest: Inferno
103886,2012,1017,Star Wars: The Card Game
41002,2009,1021,Vasco da Gama
137269,2013,1023,Spyrium
12962,2004,1024,Reef Encounter
402676,2024,1031,Cities
112,1995,1032,Condottiere
368058,2022,1036,The Wolves
235488,2017,1038,Istanbul: The Dice Game
177590,2016,1039,"13 Days: The Cuban Missile Crisis, 1962"
155362,2014,1040,Ca$h 'n Guns 2
53953,2009,1041,Thunderstone
119788,2014,1042,Hyperborea
329465,2021,1043,Red Rising
12902,2004,1044,Carcassonne: The City
117915,2012,1048,Yedo
173,1997,1049,Formula Dé
25669,2006,1052,Qwirkle
154458,2014,1053,Akrotiri
1041,2001,1056,San Marco
94,1999,1058,Union Pacific
166384,2014,1059,Spyfall
195137,2015,1060,Catacombs (Third Edition)
98229,2011,1062,Pictomania
244992,2018,1065,The Mind
11971,2004,1066,Cockroach Poker
160851,2015,1068,Lanterns: The Harvest Festival
129948,2012,1069,The Palaces of Carrara
199966,2017,1071,Kingsburg (Second Edition)
362452,2022,1074,Atiwa
1345,2001,1075,Genoa
295262,2022,1078,Sniper Elite: The Board Game
148575,2014,1080,Marvel Dice Masters: Avengers vs. X-Men
113997,2013,1081,Tajemnicze Domostwo
59946,2010,1086,Dungeons & Dragons: Castle Ravenloft Board Game
360265,2022,1090,Sabika
24800,2008,1092,Conflict of Heroes: Awakening the Bear! – Russia 1941-42
252526,2018,1094,Pictomania (Second Edition)
202408,2016,1097,Adrenaline
27588,2007,1098,Zooloretto
325022,2021,1099,Coffee Traders
223953,2017,1100,Kitchen Rush
177678,2015,1102,Signorie
242804,2018,1103,Lowlands
35570,2008,1104,Tinners' Trail
305682,2021,1107,Rolling Realms
147151,2013,1108,Concept
193214,2017,1110,Meeple Circus
9440,2004,1113,Maharaja: The Game of Palace Building in India
158889,2014,1117,Summoner Wars: Alliances Master Set
340041,2021,1118,Kingdomino Origins
38054,2008,1119,Snow Tails
318983,2020,1120,Faiyum
201921,2017,1121,Tiny Epic Quest
66356,2011,1122,Dungeons & Dragons: Wrath of Ashardalon Board Game
270971,2019,1123,Era: Medieval Age
203427,2016,1125,Fabled Fruit
368017,2023,1126,Point City
191977,2016,1127,The Castles of Burgundy: The Card Game
26566,2009,1128,Homesteaders
172047,2016,1129,The Others
491,2000,1130,Web of Power
8203,2003,1132,"Hey, That's My Fish!"
13642,2005,1133,Louis XIV
276894,2019,1137,Ticket to Ride: London
154086,2015,1140,Gold West
15817,2005,1143,Manila
241266,2017,1144,Little Town
245476,2018,1146,CuBirds
375651,2023,1149,That's Not a Hat
151004,2014,1150,Smash Up: Science Fiction Double Feature
